id,name,description,powers,quotes,affiliation,creators,aka
1,Iron Man,"Tony Stark, a billionaire genius, builds a powered suit of armor and becomes the armored superhero Iron Man. Using his technological expertise and wit, Iron Man fights against evil to protect the world.","Genius intellect,Powered suit of armor,Flight,Energy blasts","I am Iron Man.,Sometimes you gotta run before you can walk.,Genius, billionaire, playboy, philanthropist.",Avengers,"Stan Lee, Larry Lieber, Don Heck, Jack Kirby","Tony Stark,Shellhead"
2,Captain America,"Steve Rogers, a frail young man, volunteers for a top-secret experiment and becomes Captain America, a super soldier dedicated to upholding justice and defending the ideals of freedom. With his shield and unwavering courage, Captain America fights for what is right.","Peak human strength,Enhanced agility,Master tactician,Indomitable will","I can do this all day.,I'm just a kid from Brooklyn.,I'm with you 'til the end of the line.",Avengers,"Joe Simon, Jack Kirby","Cap,The First Avenger"
3,Thor,"Thor Odinson, the god of thunder, wields the enchanted hammer Mjolnir and possesses incredible strength and control over lightning. As the prince of Asgard, Thor learns humility and becomes a mighty hero, defending the Nine Realms and battling powerful adversaries.","Superhuman strength,Control over lightning,Longevity,Weather manipulation","I am Thor, son of Odin!,I say thee nay!,Another!",Avengers,"Stan Lee, Larry Lieber, Jack Kirby",God of Thunder
4,Black Widow,"Natasha Romanoff, also known as Black Widow, is a highly skilled spy and assassin. Trained in the Red Room, she uses her expertise in martial arts and espionage to carry out missions for S.H.I.E.L.D. and the Avengers, all while seeking redemption for her past actions.","Expert martial artist,Master of disguise,Weapons proficiency,Espionage skills","I'm always picking up after you boys.,I have nothing to prove to you.,I'm done running from my past.",Avengers,"Stan Lee, Don Rico, Don Heck","Natasha Romanoff,Natalia Romanova"
5,Hulk,"Bruce Banner, a brilliant scientist, transforms into the raging green behemoth known as the Hulk whenever he gets angry or overwhelmed with emotions. Possessing immense strength and near-invulnerability, the Hulk battles both inner demons and external threats, using his incredible power for good.","Superhuman strength,Regenerative healing,Durability,Unlimited rage","Hulk smash!,Puny god.,I'm always angry.",Avengers,"Stan Lee, Jack Kirby","Bruce Banner,Jade Giant"
6,Hawkeye,"Clint Barton, also known as Hawkeye, is a highly skilled marksman and master archer. With exceptional accuracy and a wide range of trick arrows, Hawkeye fights alongside the Avengers, using his talents to hit his targets with precision and provide essential support to his team.","Expert marksman,Master archer,Exceptional hand-to-hand combat skills,Trick arrows","The city is flying, we're fighting an army of robots, and I have a bow and arrow. None of this makes sense.,I see better from a distance.,Just can't seem to miss.",Avengers,"Stan Lee, Don Heck","Clint Barton,Ronin"
7,Spider-Man,"Peter Parker, a high school student from New York, gains amazing spider-like abilities after being bitten by a genetically-altered spider. With his newfound powers, Spider-Man fights crime and protects the innocent while balancing his personal life and responsibilities.","Agility,Superhuman strength,Wall-crawling,Web-slinging","With great power comes great responsibility.,I'm your friendly neighborhood Spider-Man!,When you can do the things that I can, but you don't... and then the bad things happen? They happen because of you.",Avengers,"Stan Lee, Steve Ditko","Peter Parker,Web-Slinger"
8,Black Panther,"T'Challa, the king of the technologically advanced African nation of Wakanda, assumes the mantle of the Black Panther. With enhanced strength, agility, and a suit made of Vibranium, Black Panther protects his people and fights against those who seek to exploit Wakanda's resources.","Enhanced strength,Agility,Vibranium suit,Heightened senses","Wakanda forever!,In times of crisis, the wise build bridges while the foolish build barriers.,The Black Panther has been the protector of Wakanda for generations.",Avengers,"Stan Lee, Jack Kirby",T'Challa
9,Scarlet Witch,"Wanda Maximoff, also known as Scarlet Witch, possesses reality-altering powers derived from the Mind Stone. With her immense psychic abilities, she is a formidable force and plays a crucial role in protecting the world from supernatural threats.","Reality manipulation,Telekinesis,Energy projection,Probability manipulation","No more mutants.,I can't control their fear, only my own.,You took everything from me.",Avengers,"Stan Lee, Jack Kirby",Wanda Maximoff
10,Vision,"Vision is an android created by the combined efforts of Tony Stark and Bruce Banner, infused with the Mind Stone. With his synthetic body and advanced abilities, Vision strives to understand humanity and uses his powers to protect the innocent.","Density manipulation,Energy beams,Flight,Superhuman strength","I am on the side of life.,A thing isn't beautiful because it lasts.,Existence is beautiful, but the world is complicated.",Avengers,"Stan Lee, Roy Thomas, John Buscema",The Vision
11,Ant-Man,"Scott Lang, a master thief with a heart of gold, becomes the superhero Ant-Man after acquiring a suit that allows him to shrink in scale but increase in strength. Using his size-changing abilities and a team of ants, Ant-Man fights alongside the Avengers to save the world.","Size manipulation,Superhuman strength (when small),Ant communication,Electrical disruption","I'm Ant-Man. I know, it wasn't my idea.,One question: Is it too late to change the name?,We're the Avengers. We can bust arms dealers all the live-long day, but that up there is the endgame. How are you guys planning on beating that?",Avengers,"Stan Lee, Larry Lieber, Jack Kirby",Scott Lang
